Id,SalePrice
1461,113457.5033
1462,165325.4017
1463,157177.0411
1464,179836.8878
1465,227017.1982
1466,175767.238
1467,169893.5366
1468,167762.6784
1469,206820.8109
1470,100004.2274
1471,209242.926
1472,119727.6335
1473,102629.8981
1474,170458.8382
1475,150460.8986
1476,326261.2669
1477,267979.4214
1478,301934.5713
1479,286881.7537
1480,387706.7317
1481,301367.0317
1482,233755.5527
1483,181295.4413
1484,191314.9057
1485,177563.5557
1486,206006.6562
1487,312802.2309
1488,272181.0665
1489,200803.6544
1490,194163.2446
1491,203045.1963
1492,113432.6892
1493,188184.1902
1494,290121.185
1495,289573.6193
1496,219389.6688
1497,205900.0162
1498,174970.9224
1499,174970.9224
1500,152526.3069
1501,169351.6284
1502,167556.4313
1503,263276.1849
1504,242007.2083
1505,221114.2211
1506,222683.436
1507,233829.6722
1508,206777.818
1509,176048.9637
1510,150997.8777
1511,149407.0828
1512,173299.2837
1513,180075.0813
1514,153327.149
1515,208138.7821
1516,175295.0087
1517,148383.0236
1518,181621.2152
1519,220545.7607
1520,126627.587
1521,131648.3155
1522,193403.872
1523,99227.16267
1524,115688.807
1525,113122.9691
1526,113739.9409
1527,100499.713
1528,142045.4153
1529,146418.0188
1530,187039.7499
1531,121365.5531
1532,90997.09155
1533,161003.828
1534,142974.5194
1535,142565.7588
1536,126914.5845
1537,48313.29518
1538,208968.5744
1539,247314.1099
1540,147725.4833
1541,171236.4196
1542,142669.1599
1543,213956.4669
1544,71190.40617
1545,130051.6027
1546,154396.2942
1547,129315.2261
1548,149545.4949
1549,119994.9855
1550,153135.2848
1551,145774.7631
1552,147526.6097
1553,136352.8498
1554,139312.5017
1555,163217.7369
1556,112366.4369
1557,120480.2917
1558,120440.8391
1559,102362.1781
1560,157208.4145
1561,137514.8646
1562,107882.7589
1563,104231.8175
1564,162359.4726
1565,141595.5381
1566,220341.7165
1567,86415.13381
1568,203703.8866
1569,96277.35336
1570,137660.3163
1571,108663.1047
1572,129818.3826
1573,221997.4798
1574,155240.5874
1575,215405.7991
1576,226886.6578
1577,200162.9527
1578,166039.2903
1579,129077.7244
1580,206751.2125
1581,117419.7376
1582,122886.8481
1583,301853.0829
1584,231602.3724
1585,143677.8079
1586,22372.38693
1587,100013.4966
1588,131237.2542
1589,105189.9392
1590,145468.5723
1591,68888.84175
1592,133306.8969
1593,143978.4618
1594,117255.1633
1595,120982.578
1596,227683.6695
1597,185322.6995
1598,193346.6841
1599,207829.8666
1600,220404.535
1601,4025.478597
1602,136847.475
1603,83162.94628
1604,254850.5347
1605,264275.9415
1606,177875.2951
1607,241498.4803
1608,224897.8616
1609,198045.2824
1610,132588.0789
1611,149330.9029
1612,168679.3593
1613,162882.3604
1614,110183.5562
1615,59852.31679
1616,59852.31679
1617,78847.3952
1618,105902.7088
1619,119675.07
1620,204149.7702
1621,132525.5152
1622,130674.073
1623,264776.6824
1624,198486.8692
1625,133122.8425
1626,191487.4593
1627,180685.3363
1628,277081.4449
1629,190753.915
1630,318011.8681
1631,240963.9632
1632,259505.9655
1633,177924.1844
1634,181671.8958
1635,167295.2807
1636,170530.1824
1637,176594.1112
1638,224248.5628
1639,203498.6964
1640,259188.7235
1641,198375.3432
1642,218653.7643
1643,246018.6121
1644,239882.0052
1645,181424.0423
1646,166460.9968
1647,195758.6533
1648,146701.8691
1649,119576.382
1650,99386.49583
1651,99386.49583
1652,119727.6335
1653,120103.5679
1654,172611.733
1655,184327.718
1656,170458.8382
1657,172611.733
1658,170458.8382
1659,151040.4642
1660,138539.7027
1661,351600.8133
1662,334964.407
1663,329876.0451
1664,402170.4407
1665,306554.204
1666,287712.4102
1667,305215.221
1668,308464.2838
1669,287663.2748
1670,311641.9097
1671,242002.0741
1672,363717.6189
1673,286551.8386
1674,272710.6602
1675,184817.0791
1676,182917.6523
1677,208618.9923
1678,391849.4689
1679,316739.8377
1680,300788.7189
1681,265260.3175
1682,278585.0717
1683,212419.0145
1684,189154.4425
1685,167259.7126
1686,196590.8159
1687,177563.5557
1688,202359.101
1689,199992.6622
1690,192923.7397
1691,183218.1248
1692,260418.0321
1693,177563.5557
1694,170348.895
1695,180314.0147
1696,261269.2426
1697,180470.6541
1698,313317.0928
1699,307043.0685
1700,231705.1066
1701,266565.9698
1702,281570.8048
1703,273653.6997
1704,280038.0186
1705,238516.3297
1706,364502.2799
1707,215657.5618
1708,214485.5142
1709,292691.6832
1710,241298.5189
1711,254645.4581
1712,270946.461
1713,250565.7856
1714,225789.5833
1715,204366.1086
1716,199237.261
1717,191736.3123
1718,132465.435
1719,210094.014
1720,265100.7647
1721,191052.506
1722,105005.6146
1723,143058.4271
1724,235331.5079
1725,227103.1757
1726,182455.6053
1727,183679.3985
1728,195346.4717
1729,162313.4191
1730,171888.5428
1731,129755.8327
1732,125827.109
1733,106738.047
1734,116731.8246
1735,108322.6754
1736,107570.8066
1737,304905.5624
1738,212934.5929
1739,298439.1514
1740,214984.6428
